id,descricao,valor_original,unidade_original,fator_para_cm,valor_cm,fonte,localizacao,condicao
C01,largura superior total,7.50,m,100,750,00_dados/input/croqui.jpg,cota superior,transcrito; referência entre faces/eixos a confirmar
C02,segmento superior esquerdo,3.75,m,100,375,00_dados/input/croqui.jpg,cota superior,transcrito; referência entre faces/eixos a confirmar
C03,segmento superior direito,3.75,m,100,375,00_dados/input/croqui.jpg,cota superior,transcrito; referência entre faces/eixos a confirmar
C04,comprimento direito total,11.50,m,100,1150,00_dados/input/croqui.jpg,lateral direita,transcrito; referência entre faces/eixos a confirmar
C05,segmento esquerdo quarto superior,3.50,m,100,350,00_dados/input/croqui.jpg,lateral esquerda,transcrito; referência entre faces/eixos a confirmar
C06,segmento esquerdo quarto central,3.00,m,100,300,00_dados/input/croqui.jpg,lateral esquerda,transcrito; referência entre faces/eixos a confirmar
C07,segmento esquerdo banheiro,1.50,m,100,150,00_dados/input/croqui.jpg,lateral esquerda,transcrito; referência entre faces/eixos a confirmar
C08,segmento esquerdo estar,3.00,m,100,300,00_dados/input/croqui.jpg,lateral esquerda,transcrito; referência entre faces/eixos a confirmar
C09,segmento direito quarto superior,3.50,m,100,350,00_dados/input/croqui.jpg,lateral direita,transcrito; referência entre faces/eixos a confirmar
C10,segmento direito banheiro,1.50,m,100,150,00_dados/input/croqui.jpg,lateral direita,transcrito; referência entre faces/eixos a confirmar
C11,segmento direito cozinha,3.00,m,100,300,00_dados/input/croqui.jpg,lateral direita,transcrito; referência entre faces/eixos a confirmar
C12,segmento direito jantar,3.50,m,100,350,00_dados/input/croqui.jpg,lateral direita,transcrito; referência entre faces/eixos a confirmar
C13,segmento inferior estar,4.20,m,100,420,00_dados/input/croqui.jpg,base esquerda,transcrito; referência entre faces/eixos a confirmar
C14,segmento inferior jantar,3.30,m,100,330,00_dados/input/croqui.jpg,base direita,transcrito; referência entre faces/eixos a confirmar
A01A,Dormitório superior esquerdo dimensão A,3.50,m,100,350,00_dados/input/croqui.jpg,texto interno; unidade inferida das cotas explícitas em m,transcrito; referência entre faces/eixos a confirmar
A01B,Dormitório superior esquerdo dimensão B,3.75,m,100,375,00_dados/input/croqui.jpg,texto interno; unidade inferida das cotas explícitas em m,transcrito; referência entre faces/eixos a confirmar
A02A,Dormitório superior direito dimensão A,3.50,m,100,350,00_dados/input/croqui.jpg,texto interno; unidade inferida das cotas explícitas em m,transcrito; referência entre faces/eixos a confirmar
A02B,Dormitório superior direito dimensão B,3.75,m,100,375,00_dados/input/croqui.jpg,texto interno; unidade inferida das cotas explícitas em m,transcrito; referência entre faces/eixos a confirmar
A03A,Dormitório central esquerdo dimensão A,3.00,m,100,300,00_dados/input/croqui.jpg,texto interno; unidade inferida das cotas explícitas em m,transcrito; referência entre faces/eixos a confirmar
A03B,Dormitório central esquerdo dimensão B,3.30,m,100,330,00_dados/input/croqui.jpg,texto interno; unidade inferida das cotas explícitas em m,transcrito; referência entre faces/eixos a confirmar
A04A,Banheiro esquerdo dimensão A,1.50,m,100,150,00_dados/input/croqui.jpg,texto interno; unidade inferida das cotas explícitas em m,transcrito; referência entre faces/eixos a confirmar
A04B,Banheiro esquerdo dimensão B,3.30,m,100,330,00_dados/input/croqui.jpg,texto interno; unidade inferida das cotas explícitas em m,transcrito; referência entre faces/eixos a confirmar
A05A,Banheiro direito dimensão A,1.50,m,100,150,00_dados/input/croqui.jpg,texto interno; unidade inferida das cotas explícitas em m,transcrito; referência entre faces/eixos a confirmar
A05B,Banheiro direito dimensão B,3.30,m,100,330,00_dados/input/croqui.jpg,texto interno; unidade inferida das cotas explícitas em m,transcrito; referência entre faces/eixos a confirmar
A06A,Cozinha dimensão A,3.00,m,100,300,00_dados/input/croqui.jpg,texto interno; unidade inferida das cotas explícitas em m,transcrito; referência entre faces/eixos a confirmar
A06B,Cozinha dimensão B,3.30,m,100,330,00_dados/input/croqui.jpg,texto interno; unidade inferida das cotas explícitas em m,transcrito; referência entre faces/eixos a confirmar
A07A,Estar dimensão A,3.00,m,100,300,00_dados/input/croqui.jpg,texto interno; unidade inferida das cotas explícitas em m,transcrito; referência entre faces/eixos a confirmar
A07B,Estar dimensão B,4.20,m,100,420,00_dados/input/croqui.jpg,texto interno; unidade inferida das cotas explícitas em m,transcrito; referência entre faces/eixos a confirmar
A08A,Jantar dimensão A,3.30,m,100,330,00_dados/input/croqui.jpg,texto interno; unidade inferida das cotas explícitas em m,transcrito; referência entre faces/eixos a confirmar
A08B,Jantar dimensão B,3.50,m,100,350,00_dados/input/croqui.jpg,texto interno; unidade inferida das cotas explícitas em m,transcrito; referência entre faces/eixos a confirmar
R01,frente do lote,1050,cm,1,1050,REQUISITOS/convencoes.md,REQUISITOS/convencoes.md,"requisito documental, sem levantamento"
R02,lateral do lote,1400,cm,1,1400,REQUISITOS/convencoes.md,REQUISITOS/convencoes.md,"requisito documental, sem levantamento"
R03,pé-direito,300,cm,1,300,REQUISITOS/convencoes.md,REQUISITOS/convencoes.md,"requisito documental, sem levantamento"
